,date,iso_code,total_cases_per_million,people_vaccinated_per_hundred,median_age,population_density,total_deaths_per_million
3026,6/6/21,AND,177857.641,,,163.755,1641.803
3027,7/6/21,AND,178103.266,39.47,,163.755,1641.803
3028,8/6/21,AND,178154.976,,,163.755,1641.803
3029,9/6/21,AND,178284.252,,,163.755,1641.803
3030,10/6/21,AND,178465.238,,,163.755,1641.803
3031,11/6/21,AND,178568.658,,,163.755,1641.803
3032,12/6/21,AND,178568.658,,,163.755,1641.803
3033,13/6/21,AND,178568.658,,,163.755,1641.803
3034,14/6/21,AND,178736.717,44.79,,163.755,1641.803
3035,15/6/21,AND,178762.572,,,163.755,1641.803
3036,16/6/21,AND,178865.993,,,163.755,1641.803
3037,17/6/21,AND,178904.775,,,163.755,1641.803
3038,18/6/21,AND,178943.558,,,163.755,1641.803
3039,19/6/21,AND,178943.558,,,163.755,1641.803
3040,20/6/21,AND,178943.558,,,163.755,1641.803
3041,21/6/21,AND,179227.965,49.99,,163.755,1641.803
3042,22/6/21,AND,179227.965,,,163.755,1641.803
3043,23/6/21,AND,179344.313,,,163.755,1641.803
3044,24/6/21,AND,179396.023,,,163.755,1641.803
3045,25/6/21,AND,179460.661,,,163.755,1641.803
3046,26/6/21,AND,179460.661,,,163.755,1641.803
3047,27/6/21,AND,179460.661,,,163.755,1641.803
3048,28/6/21,AND,179460.661,53.93,,163.755,1641.803
3049,29/6/21,AND,179693.358,,,163.755,1641.803
3050,30/6/21,AND,179835.561,,,163.755,1641.803
5088,2/1/21,ARG,35847.045,,31.9,16.177,951.085
5089,3/1/21,ARG,35976.064,,31.9,16.177,953.431
5090,4/1/21,ARG,36156.348,,31.9,16.177,956.764
5091,5/1/21,ARG,36458.722,,31.9,16.177,960.075
5092,6/1/21,ARG,36753.443,,31.9,16.177,964.263
5093,7/1/21,ARG,37056.803,,31.9,16.177,967.464
5094,8/1/21,ARG,37349.441,,31.9,16.177,970.775
5095,9/1/21,ARG,37591.888,,31.9,16.177,973.933
5096,10/1/21,ARG,37763.094,,31.9,16.177,975.643
5097,11/1/21,ARG,37953.947,,31.9,16.177,979.129
5098,12/1/21,ARG,38256.167,,31.9,16.177,983.383
5099,13/1/21,ARG,38535.189,,31.9,16.177,986.343
5100,14/1/21,ARG,38826.511,,31.9,16.177,989.457
5101,15/1/21,ARG,39096.915,,31.9,16.177,991.694
5102,16/1/21,ARG,39292.768,,31.9,16.177,993.185
5103,17/1/21,ARG,39452.045,,31.9,16.177,995.64
5104,18/1/21,ARG,39631.518,,31.9,16.177,1004.959
5105,19/1/21,ARG,39897.734,,31.9,16.177,1010.09
5106,20/1/21,ARG,40163.314,0.53,31.9,16.177,1013.379
5107,21/1/21,ARG,40413.195,0.55,31.9,16.177,1016.427
5108,22/1/21,ARG,40648.976,0.56,31.9,16.177,1021.251
5109,23/1/21,ARG,40832.33,0.57,31.9,16.177,1024.803
5110,24/1/21,ARG,40942.645,0.57,31.9,16.177,1026.777
5111,25/1/21,ARG,41108.808,0.57,31.9,16.177,1031.316
5112,26/1/21,ARG,41337.046,0.59,31.9,16.177,1036.118
5113,27/1/21,ARG,41574.801,0.6,31.9,16.177,1040.108
5114,28/1/21,ARG,41782.472,0.61,31.9,16.177,1043.748
5115,29/1/21,ARG,41998.19,0.61,31.9,16.177,1047.564
5116,30/1/21,ARG,42149.53,0.62,31.9,16.177,1050.984
5117,31/1/21,ARG,42258.617,,31.9,16.177,1051.927
5118,1/2/21,ARG,42403.642,0.62,31.9,16.177,1057.957
5119,2/2/21,ARG,42616.225,,31.9,16.177,1061.838
5120,3/2/21,ARG,42817.866,0.62,31.9,16.177,1064.316
5121,4/2/21,ARG,43012.819,0.65,31.9,16.177,1067.846
5122,5/2/21,ARG,43196.436,,31.9,16.177,1074.095
5123,6/2/21,ARG,43342.908,0.67,31.9,16.177,1076.836
5124,7/2/21,ARG,43423.117,0.7,31.9,16.177,1078.174
5125,8/2/21,ARG,43536.129,0.71,31.9,16.177,1083.151
5126,9/2/21,ARG,43707.028,0.71,31.9,16.177,1086.835
5127,10/2/21,ARG,43876.722,0.74,31.9,16.177,1089.203
5128,11/2/21,ARG,44037.03,0.8,31.9,16.177,1093.588
5129,12/2/21,ARG,44193.83,0.81,31.9,16.177,1096.987
5130,13/2/21,ARG,44326.642,0.81,31.9,16.177,1100.474
5131,14/2/21,ARG,44419.722,0.82,31.9,16.177,1101.526
5132,15/2/21,ARG,44491.183,0.82,31.9,16.177,1103.521
5133,16/2/21,ARG,44578.957,0.82,31.9,16.177,1105.824
5134,17/2/21,ARG,44711.922,0.82,31.9,16.177,1109.858
5135,18/2/21,ARG,44880.124,0.86,31.9,16.177,1115.143
5136,19/2/21,ARG,45053.041,0.91,31.9,16.177,1118.278
5137,20/2/21,ARG,45183.375,0.98,31.9,16.177,1120.953
5138,21/2/21,ARG,45264.702,1,31.9,16.177,1122.62
5139,22/2/21,ARG,45383.481,1.01,31.9,16.177,1126.15
5140,23/2/21,ARG,45547.429,1.06,31.9,16.177,1129.461
5141,24/2/21,ARG,45726.858,1.13,31.9,16.177,1132.531
5142,25/2/21,ARG,45907.405,1.23,31.9,16.177,1135.71
5143,26/2/21,ARG,46018.86,1.36,31.9,16.177,1137.728
5144,27/2/21,ARG,46138.779,1.52,31.9,16.177,1139.021
5145,28/2/21,ARG,46208.244,1.6,31.9,16.177,1139.438
5146,1/3/21,ARG,46310.38,1.66,31.9,16.177,1141.894
5147,2/3/21,ARG,46456.261,1.81,31.9,16.177,1144.415
5148,3/3/21,ARG,46628.497,1.92,31.9,16.177,1150.138
5149,4/3/21,ARG,46791.459,2.06,31.9,16.177,1154.326
5150,5/3/21,ARG,46964.485,2.26,31.9,16.177,1157.396
5151,6/3/21,ARG,47071.051,,31.9,16.177,1159.282
5152,7/3/21,ARG,47135.121,2.59,31.9,16.177,1159.501
5153,8/3/21,ARG,47246.028,2.64,31.9,16.177,1164.785
5154,9/3/21,ARG,47406.249,2.85,31.9,16.177,1167.658
5155,10/3/21,ARG,47574.934,3.12,31.9,16.177,1170.004
5156,11/3/21,ARG,47754.823,3.43,31.9,16.177,1172.942
5157,12/3/21,ARG,47926.928,3.77,31.9,16.177,1174.806
5158,13/3/21,ARG,48064.586,4.11,31.9,16.177,1176.297
5159,14/3/21,ARG,48145.65,4.24,31.9,16.177,1176.823
5160,15/3/21,ARG,48280.808,4.28,31.9,16.177,1180.463
5161,16/3/21,ARG,48461.377,4.53,31.9,16.177,1184.849
5162,17/3/21,ARG,48643.459,4.76,31.9,16.177,1189.124
5163,18/3/21,ARG,48826.068,5.02,31.9,16.177,1192.523
5164,19/3/21,ARG,49004.992,5.22,31.9,16.177,1194.497
5165,20/3/21,ARG,49154.666,5.42,31.9,16.177,1195.396
5166,21/3/21,ARG,49243.076,5.51,31.9,16.177,1196.01
5167,22/3/21,ARG,49383.431,5.56,31.9,16.177,1198.772
5168,23/3/21,ARG,49589.654,5.74,31.9,16.177,1202.105
5169,24/3/21,ARG,49771.649,5.91,31.9,16.177,1204.802
5170,25/3/21,ARG,49952.284,5.99,31.9,16.177,1208.004
5171,26/3/21,ARG,50235.931,6.19,31.9,16.177,1211.139
5172,27/3/21,ARG,50462.613,6.38,31.9,16.177,1214.055
5173,28/3/21,ARG,50620.663,6.49,31.9,16.177,1215.832
5174,29/3/21,ARG,50927.948,6.53,31.9,16.177,1219.384
5175,30/3/21,ARG,51150.595,6.74,31.9,16.177,1222.125
5176,31/3/21,ARG,51502.656,7.05,31.9,16.177,1224.8
5177,1/4/21,ARG,51819.063,7.33,31.9,16.177,1226.62
5178,2/4/21,ARG,52036.184,7.54,31.9,16.177,1228.418
5179,3/4/21,ARG,52263.874,7.66,31.9,16.177,1230.238
5180,4/4/21,ARG,52482.158,7.78,31.9,16.177,1232.277
5181,5/4/21,ARG,52781.834,7.84,31.9,16.177,1238.241
5182,6/4/21,ARG,53239.451,8.14,31.9,16.177,1241.815
5183,7/4/21,ARG,53722.701,8.49,31.9,16.177,1246.157
5184,8/4/21,ARG,54241.999,8.91,31.9,16.177,1252.515
5185,9/4/21,ARG,54771.098,9.31,31.9,16.177,1257.515
5186,10/4/21,ARG,55196.899,9.82,31.9,16.177,1264.027
5187,11/4/21,ARG,55531.549,10.06,31.9,16.177,1266.922
5188,12/4/21,ARG,55957.745,10.22,31.9,16.177,1270.825
5189,13/4/21,ARG,56549.796,10.6,31.9,16.177,1275.583
5190,14/4/21,ARG,57101.414,10.96,31.9,16.177,1283.652
5191,15/4/21,ARG,57649.568,11.32,31.9,16.177,1292.05
5192,16/4/21,ARG,58295.801,11.63,31.9,16.177,1295.536
5193,17/4/21,ARG,58715.024,11.91,31.9,16.177,1297.29
5194,18/4/21,ARG,59071.711,12.04,31.9,16.177,1298.694
5195,19/4/21,ARG,59520.36,12.13,31.9,16.177,1304.132
5196,20/4/21,ARG,60159.423,12.32,31.9,16.177,1311.061
5197,21/4/21,ARG,60728.035,12.55,31.9,16.177,1317.441
5198,22/4/21,ARG,61324.801,12.83,31.9,16.177,1329.216
5199,23/4/21,ARG,61936.214,13.06,31.9,16.177,1341.408
5200,24/4/21,ARG,62401.505,13.48,31.9,16.177,1347.942
5201,25/4/21,ARG,62730.674,13.73,31.9,16.177,1351.67
5202,26/4/21,ARG,63142.748,13.91,31.9,16.177,1361.383
5203,27/4/21,ARG,63701.778,14.27,31.9,16.177,1372.61
5204,28/4/21,ARG,64221.843,14.63,31.9,16.177,1380.24
5205,29/4/21,ARG,64793.108,14.92,31.9,16.177,1392.541
5206,30/4/21,ARG,65284.712,15.19,31.9,16.177,1400.369
5207,1/5/21,ARG,65646.551,15.36,31.9,16.177,1405.435
5208,2/5/21,ARG,65896.388,15.4,31.9,16.177,1408.855
5209,3/5/21,ARG,66245.466,15.46,31.9,16.177,1420.696
5210,4/5/21,ARG,66820.787,15.68,31.9,16.177,1429.686
5211,5/5/21,ARG,67348.768,15.92,31.9,16.177,1444.223
5212,6/5/21,ARG,67876.902,16.22,31.9,16.177,1452.95
5213,7/5/21,ARG,68371.401,16.57,31.9,16.177,1466.304
5214,8/5/21,ARG,68766.613,16.8,31.9,16.177,1470.032
5215,9/5/21,ARG,69020.572,16.86,31.9,16.177,1476.237
5216,10/5/21,ARG,69401.686,16.92,31.9,16.177,1487.113
5217,11/5/21,ARG,69971.262,17.08,31.9,16.177,1497.857
5218,12/5/21,ARG,70507.926,17.25,31.9,16.177,1508.733
5219,13/5/21,ARG,71089.672,17.35,31.9,16.177,1518.534
5220,14/5/21,ARG,71689.661,17.44,31.9,16.177,1531.668
5221,15/5/21,ARG,72160.412,17.53,31.9,16.177,1540.439
5222,16/5/21,ARG,72518.919,17.59,31.9,16.177,1546.338
5223,17/5/21,ARG,73147.786,17.65,31.9,16.177,1557.411
5224,18/5/21,ARG,73927.139,17.85,31.9,16.177,1573.724
5225,19/5/21,ARG,74796.589,18.16,31.9,16.177,1584.556
5226,20/5/21,ARG,75583.418,18.41,31.9,16.177,1594.073
5227,21/5/21,ARG,76361.126,18.71,31.9,16.177,1609.246
5228,22/5/21,ARG,77066.54,18.94,31.9,16.177,1615.759
5229,23/5/21,ARG,77610.353,19.08,31.9,16.177,1623.981
5230,24/5/21,ARG,78107.022,19.15,31.9,16.177,1633.125
5231,25/5/21,ARG,78646.448,19.31,31.9,16.177,1645.755
5232,26/5/21,ARG,79422.643,19.47,31.9,16.177,1657.42
5233,27/5/21,ARG,80323.405,19.71,31.9,16.177,1669.414
5234,28/5/21,ARG,81183.098,19.92,31.9,16.177,1681.649
5235,29/5/21,ARG,81837.422,20.19,31.9,16.177,1690.749
5236,30/5/21,ARG,82305.477,20.53,31.9,16.177,1698.38
5237,31/5/21,ARG,82923.271,20.78,31.9,16.177,1712.347
5238,1/6/21,ARG,83698.501,21.2,31.9,16.177,1726.38
5239,2/6/21,ARG,84466.319,21.76,31.9,16.177,1739.252
5240,3/6/21,ARG,85174.365,22.27,31.9,16.177,1751.377
5241,4/6/21,ARG,85853.006,22.84,31.9,16.177,1763.174
5242,5/6/21,ARG,86371.076,23.54,31.9,16.177,1773.173
5243,6/6/21,ARG,86731.008,24.28,31.9,16.177,1780.781
5244,7/6/21,ARG,87217.678,24.76,31.9,16.177,1796.832
5245,8/6/21,ARG,87900.42,25.39,31.9,16.177,1812.641
5246,9/6/21,ARG,88552.903,26.07,31.9,16.177,1825.907
5247,10/6/21,ARG,89158.702,26.76,31.9,16.177,1840.576
5248,11/6/21,ARG,89749.285,27.53,31.9,16.177,1855.64
5249,12/6/21,ARG,90145.221,28.24,31.9,16.177,1865.442
5250,13/6/21,ARG,90431.215,28.49,31.9,16.177,1871.318
5251,14/6/21,ARG,90898.086,28.6,31.9,16.177,1886.36
5252,15/6/21,ARG,91495.816,28.99,31.9,16.177,1899.209
5253,16/6/21,ARG,92063.244,29.36,31.9,16.177,1913.374
5254,17/6/21,ARG,92584.668,29.84,31.9,16.177,1924.952
5255,18/6/21,ARG,93031.168,30.37,31.9,16.177,1934.994
5256,19/6/21,ARG,93373.91,31.08,31.9,16.177,1945.848
5257,20/6/21,ARG,93601.841,31.57,31.9,16.177,1952.448
5258,21/6/21,ARG,93790.545,31.8,31.9,16.177,1962.249
5259,22/6/21,ARG,94259.498,32.15,31.9,16.177,1979.594
5260,23/6/21,ARG,94858.523,32.64,31.9,16.177,1995.052
5261,24/6/21,ARG,95394.924,33.17,31.9,16.177,2004.963
5262,25/6/21,ARG,95921.676,33.71,31.9,16.177,2016.826
5263,26/6/21,ARG,96328.532,34.24,31.9,16.177,2024.237
5264,27/6/21,ARG,96593.959,34.71,31.9,16.177,2029.741
5265,28/6/21,ARG,96997.175,35.07,31.9,16.177,2042.327
5266,29/6/21,ARG,97524.849,35.59,31.9,16.177,2053.861
5267,30/6/21,ARG,98022,36.19,31.9,16.177,2067.806
7301,2/1/21,AUS,1104.535,,37.9,3.202,35.249
7302,3/1/21,AUS,1105.311,,37.9,3.202,35.249
7303,4/1/21,AUS,1105.815,,37.9,3.202,35.249
7304,5/1/21,AUS,1106.552,,37.9,3.202,35.249
7305,6/1/21,AUS,1106.94,,37.9,3.202,35.249
7306,7/1/21,AUS,1107.909,,37.9,3.202,35.249
7307,8/1/21,AUS,1108.336,,37.9,3.202,35.249
7308,9/1/21,AUS,1108.84,,37.9,3.202,35.249
7309,10/1/21,AUS,1109.577,,37.9,3.202,35.249
7310,11/1/21,AUS,1110.352,,37.9,3.202,35.249
7311,12/1/21,AUS,1110.973,,37.9,3.202,35.249
7312,13/1/21,AUS,1111.36,,37.9,3.202,35.249
7313,14/1/21,AUS,1111.709,,37.9,3.202,35.249
7314,15/1/21,AUS,1112.485,,37.9,3.202,35.249
7315,16/1/21,AUS,1113.222,,37.9,3.202,35.249
7316,17/1/21,AUS,1113.726,,37.9,3.202,35.249
7317,18/1/21,AUS,1114.113,,37.9,3.202,35.249
7318,19/1/21,AUS,1114.462,,37.9,3.202,35.249
7319,20/1/21,AUS,1114.811,,37.9,3.202,35.249
7320,21/1/21,AUS,1115.044,,37.9,3.202,35.249
7321,22/1/21,AUS,1115.238,,37.9,3.202,35.249
7322,23/1/21,AUS,1115.471,,37.9,3.202,35.249
7323,24/1/21,AUS,1115.897,,37.9,3.202,35.249
7324,25/1/21,AUS,1116.014,,37.9,3.202,35.249
7325,26/1/21,AUS,1116.246,,37.9,3.202,35.249
7326,27/1/21,AUS,1116.556,,37.9,3.202,35.249
7327,28/1/21,AUS,1116.75,,37.9,3.202,35.249
7328,29/1/21,AUS,1117.022,,37.9,3.202,35.249
7329,30/1/21,AUS,1117.216,,37.9,3.202,35.249
7330,31/1/21,AUS,1117.487,,37.9,3.202,35.249
7331,1/2/21,AUS,1117.681,,37.9,3.202,35.249
7332,2/2/21,AUS,1117.914,,37.9,3.202,35.249
7333,3/2/21,AUS,1118.263,,37.9,3.202,35.249
7334,4/2/21,AUS,1118.418,,37.9,3.202,35.249
7335,5/2/21,AUS,1118.65,,37.9,3.202,35.249
7336,6/2/21,AUS,1118.767,,37.9,3.202,35.249
7337,7/2/21,AUS,1118.999,,37.9,3.202,35.249
7338,8/2/21,AUS,1119.116,,37.9,3.202,35.249
7339,9/2/21,AUS,1119.542,,37.9,3.202,35.249
7340,10/2/21,AUS,1119.853,,37.9,3.202,35.249
7341,11/2/21,AUS,1120.163,,37.9,3.202,35.249
7342,12/2/21,AUS,1120.357,,37.9,3.202,35.249
7343,13/2/21,AUS,1120.589,,37.9,3.202,35.249
7344,14/2/21,AUS,1120.667,,37.9,3.202,35.249
7345,15/2/21,AUS,1120.861,,37.9,3.202,35.249
7346,16/2/21,AUS,1121.093,,37.9,3.202,35.249
7347,17/2/21,AUS,1121.132,,37.9,3.202,35.249
7348,18/2/21,AUS,1121.365,,37.9,3.202,35.249
7349,19/2/21,AUS,1121.442,,37.9,3.202,35.249
7350,20/2/21,AUS,1121.675,,37.9,3.202,35.249
7351,21/2/21,AUS,1121.83,0,37.9,3.202,35.249
7352,22/2/21,AUS,1122.102,0.01,37.9,3.202,35.249
7353,23/2/21,AUS,1122.179,0.03,37.9,3.202,35.249
7354,24/2/21,AUS,1122.489,0.06,37.9,3.202,35.249
7355,25/2/21,AUS,1122.877,0.09,37.9,3.202,35.249
7356,26/2/21,AUS,1123.187,0.12,37.9,3.202,35.249
7357,27/2/21,AUS,1123.381,0.12,37.9,3.202,35.249
7358,28/2/21,AUS,1123.691,0.13,37.9,3.202,35.249
7359,1/3/21,AUS,1124.002,0.16,37.9,3.202,35.249
7360,2/3/21,AUS,1124.389,0.2,37.9,3.202,35.249
7361,3/3/21,AUS,1124.816,0.24,37.9,3.202,35.249
7362,4/3/21,AUS,1125.359,0.28,37.9,3.202,35.249
7363,5/3/21,AUS,1125.669,0.3,37.9,3.202,35.249
7364,6/3/21,AUS,1125.863,0.32,37.9,3.202,35.249
7365,7/3/21,AUS,1126.328,0.33,37.9,3.202,35.249
7366,8/3/21,AUS,1126.91,0.37,37.9,3.202,35.249
7367,9/3/21,AUS,1127.414,0.42,37.9,3.202,35.249
7368,10/3/21,AUS,1128.035,0.48,37.9,3.202,35.249
7369,11/3/21,AUS,1128.5,0.52,37.9,3.202,35.249
7370,12/3/21,AUS,1128.888,0.62,37.9,3.202,35.249
7371,13/3/21,AUS,1129.082,0.63,37.9,3.202,35.249
7372,14/3/21,AUS,1129.586,0.64,37.9,3.202,35.249
7373,15/3/21,AUS,1129.857,0.71,37.9,3.202,35.249
7374,16/3/21,AUS,1130.516,0.79,37.9,3.202,35.249
7375,17/3/21,AUS,1130.982,0.87,37.9,3.202,35.249
7376,18/3/21,AUS,1131.641,0.93,37.9,3.202,35.249
7377,19/3/21,AUS,1131.99,0.97,37.9,3.202,35.249
7378,20/3/21,AUS,1132.145,0.98,37.9,3.202,35.249
7379,21/3/21,AUS,1132.533,1.02,37.9,3.202,35.249
7380,22/3/21,AUS,1132.727,1.12,37.9,3.202,35.249
