,date,iso_code,total_cases_per_million,people_vaccinated_per_hundred,median_age,icu_patients_per_million,total_deaths_per_million
38346,2021-05-16,EST,95875.45300000001,30.24,42.7,24.148000000000003,922.133
38347,2021-05-17,EST,95990.90800000001,30.69,42.7,23.393,922.888
38348,2021-05-18,EST,96212.76400000001,31.13,42.7,23.393,927.416
38349,2021-05-19,EST,96406.69900000001,31.53,42.7,21.129,929.679
38350,2021-05-20,EST,96653.45599999999,31.93,42.7,21.129,931.943
38351,2021-05-21,EST,96823.243,32.43,42.7,21.129,934.962
38352,2021-05-22,EST,96959.073,32.74,42.7,22.638,935.716
38353,2021-05-23,EST,97036.79800000001,32.99,42.7,18.865,935.716
38354,2021-05-24,EST,97094.903,33.32,42.7,17.355999999999998,936.471
38355,2021-05-25,EST,97215.64,33.69,42.7,15.092,936.471
38356,2021-05-26,EST,97355.243,34.13,42.7,12.828,937.2260000000001
38357,2021-05-27,EST,97463.90699999999,34.56,42.7,13.583,938.735
38358,2021-05-28,EST,97568.79800000001,34.92,42.7,13.583,940.9989999999999
38359,2021-05-29,EST,97664.633,35.21,42.7,14.338,943.262
38360,2021-05-30,EST,97711.41900000001,35.48,42.7,12.828,944.0169999999999
38361,2021-05-31,EST,97755.186,35.65,42.7,12.074000000000002,944.7719999999999
38362,2021-06-01,EST,97853.286,36.08,42.7,9.055,949.299
38363,2021-06-02,EST,97951.385,36.52,42.7,9.81,950.054
38364,2021-06-03,EST,98030.619,36.98,42.7,9.055,950.808
38365,2021-06-04,EST,98103.06199999999,37.36,42.7,9.055,950.808
38366,2021-06-05,EST,98150.602,37.62,42.7,7.546,952.318
38367,2021-06-06,EST,98189.087,37.74,42.7,8.301,953.072
38368,2021-06-07,EST,98217.008,37.97,42.7,7.546,953.827
38369,2021-06-08,EST,98281.90400000001,38.28,42.7,6.791,953.827
38370,2021-06-09,EST,98333.21800000001,38.61,42.7,6.791,954.582
38371,2021-06-10,EST,98373.96699999999,38.94,42.7,6.791,955.336
38372,2021-06-11,EST,98414.715,39.2,42.7,6.791,955.336
38373,2021-06-12,EST,98456.219,39.36,42.7,6.791,955.336
38374,2021-06-13,EST,98484.14,39.49,42.7,3.773,955.336
38375,2021-06-14,EST,98505.269,39.73,42.7,2.2640000000000002,955.336
38376,2021-06-15,EST,98551.3,39.99,42.7,3.0180000000000002,955.336
38377,2021-06-16,EST,98595.82199999999,40.21,42.7,3.773,955.336
38378,2021-06-17,EST,98623.742,40.43,42.7,3.0180000000000002,956.091
38379,2021-06-18,EST,98666.00099999999,40.77,42.7,3.0180000000000002,956.091
38380,2021-06-19,EST,98688.63900000001,40.89,42.7,3.773,956.091
38381,2021-06-20,EST,98707.504,41.02,42.7,3.773,956.845
38382,2021-06-21,EST,98716.55900000001,41.24,42.7,3.0180000000000002,956.845
38383,2021-06-22,EST,98744.48,41.38,42.7,3.773,957.6
38384,2021-06-23,EST,98763.345,41.38,42.7,3.0180000000000002,957.6
38385,2021-06-24,EST,98776.92800000001,41.38,42.7,2.2640000000000002,957.6
38386,2021-06-25,EST,98784.474,41.53,42.7,3.773,957.6
38387,2021-06-26,EST,98809.37599999999,41.62,42.7,4.5280000000000005,957.6
38388,2021-06-27,EST,98829.75099999999,41.71,42.7,4.5280000000000005,957.6
38389,2021-06-28,EST,98841.07,41.86,42.7,4.5280000000000005,957.6
38390,2021-06-29,EST,98875.028,42.02,42.7,4.5280000000000005,957.6
38391,2021-06-30,EST,98902.194,42.21,42.7,3.773,957.6
42495,2021-01-25,FIN,7708.943,1.91,42.8,3.785,118.053
42496,2021-01-26,FIN,7771.664000000001,1.98,42.8,3.785,118.053
42497,2021-01-27,FIN,7861.06,2.12,42.8,3.605,118.954
42498,2021-01-28,FIN,7937.299,2.3,42.8,3.965,119.675
42499,2021-01-29,FIN,8002.724,2.48,42.8,3.605,120.93700000000001
42502,2021-02-01,FIN,8197.376,2.62,42.8,3.0639999999999996,122.01799999999999
42503,2021-02-02,FIN,8251.806,2.63,42.8,3.0639999999999996,123.28
42504,2021-02-03,FIN,8299.568000000001,2.7,42.8,4.145,123.46
42505,2021-02-04,FIN,8379.591999999999,2.88,42.8,4.145,124.001
42506,2021-02-05,FIN,8451.865,2.97,42.8,3.605,124.001
42509,2021-02-08,FIN,8645.616,3.08,42.8,2.884,124.001
42510,2021-02-09,FIN,8724.558,3.13,42.8,2.7039999999999997,126.704
42511,2021-02-10,FIN,8796.652,3.21,42.8,2.884,126.704
42512,2021-02-11,FIN,8861.175,3.38,42.8,2.884,127.605
42513,2021-02-12,FIN,8934.53,3.56,42.8,3.2439999999999998,127.96600000000001
42516,2021-02-15,FIN,9130.985,3.79,42.8,3.785,129.047
42517,2021-02-16,FIN,9200.375,3.9,42.8,4.8660000000000005,129.768
42518,2021-02-17,FIN,9299.143,4.14,42.8,5.407,130.309
42519,2021-02-18,FIN,9409.806,4.4,42.8,4.8660000000000005,130.66899999999998
42520,2021-02-19,FIN,9489.83,4.72,42.8,4.3260000000000005,130.66899999999998
42525,2021-02-24,FIN,9934.826,5.45,42.8,6.308,132.832
42526,2021-02-25,FIN,10036.658000000001,5.76,42.8,6.4879999999999995,133.373
42527,2021-02-26,FIN,10166.426,6.26,42.8,6.849,133.733
42530,2021-03-01,FIN,10465.072,6.93,42.8,7.029,135.175
42532,2021-03-03,FIN,10713.434,7.29,42.8,6.669,136.797
42533,2021-03-04,FIN,10850.051000000001,7.67,42.8,7.029,137.69799999999998
42534,2021-03-05,FIN,10976.935,8.09,42.8,6.849,138.239
42537,2021-03-08,FIN,11268.553,8.68,42.8,6.669,139.501
42538,2021-03-09,FIN,11374.53,8.84,42.8,7.209,139.861
42539,2021-03-10,FIN,11514.931999999999,9.29,42.8,7.75,139.861
42540,2021-03-11,FIN,11644.7,9.73,42.8,7.39,139.861
42541,2021-03-12,FIN,11771.945,10.19,42.8,8.471,141.66299999999998
42544,2021-03-15,FIN,12135.836000000001,10.77,42.8,9.012,144.187
42545,2021-03-16,FIN,12229.017,11.01,42.8,8.831,144.36700000000002
42546,2021-03-17,FIN,12380.773000000001,11.47,42.8,10.093,144.908
42547,2021-03-18,FIN,12525.681,12.11,42.8,9.012,145.088
42548,2021-03-19,FIN,12664.461000000001,12.64,42.8,9.913,145.088
42551,2021-03-22,FIN,12989.962,13.23,42.8,9.913,145.629
42552,2021-03-23,FIN,13105.312,13.39,42.8,11.535,145.629
42553,2021-03-24,FIN,13250.038999999999,13.69,42.8,11.174000000000001,145.809
42554,2021-03-25,FIN,13380.889,14.13,42.8,10.634,146.89
42555,2021-03-26,FIN,13473.168,14.6,42.8,10.634,147.251
42558,2021-03-29,FIN,13774.338,15.21,42.8,9.732999999999999,148.15200000000002
42559,2021-03-30,FIN,13850.036,15.55,42.8,9.012,148.873
42560,2021-03-31,FIN,13959.438,16.09,42.8,9.012,152.11700000000002
42561,2021-04-01,FIN,14077.31,16.78,42.8,9.372,152.477
42566,2021-04-06,FIN,14430.928,17.59,42.8,8.111,155.001
42567,2021-04-07,FIN,14493.65,17.9,42.8,8.111,155.361
42568,2021-04-08,FIN,14570.428999999998,18.54,42.8,7.57,156.082
42569,2021-04-09,FIN,14645.947,19.23,42.8,7.39,156.44299999999998
