,total_cases_per_million,people_vaccinated_per_hundred,icu_patients,stringency_index,aged_65_older,aged_70_older,median_age,population_density,cardiovasc_death_rate,diabetes_prevalence,total_deaths_per_million
42269,0.1715426107533929,1.6904403561884416,-0.8665469163721798,-1.0405589088505467,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,176.62900000000002
42271,0.1853560807102991,1.6997834726240344,-0.8872909919423425,-1.0405589088505467,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,176.62900000000002
42272,0.19042008573142397,1.7064015134325796,-0.8872909919423425,-1.0405589088505467,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,176.62900000000002
42273,0.19417594408836247,1.7067908099507294,-0.8976630297274238,-1.0405589088505467,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,176.80900000000003
42274,0.20278469018663214,1.7087372925414779,-0.8976630297274238,-1.0405589088505467,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,176.989
42275,0.21184368973670642,1.7165232229044722,-0.9184071052975866,-1.0405589088505467,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,176.989
42276,0.22260466138307036,1.725866339340065,-0.9184071052975866,-1.0405589088505467,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,176.989
42277,0.23312657490447722,1.7441632756931011,-0.9080350675125053,-1.0405589088505467,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,177.35
42279,0.25159609793371607,1.7507813165016464,-0.9080350675125053,-1.5826467717615622,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,177.53
42280,0.25644914176915434,1.7519492060560955,-0.9080350675125053,-1.5826467717615622,0.7324047748979043,0.7092056198959964,0.6914955619529304,-0.6420783146582348,-0.5814701431506346,-0.6436195385001383,177.35
