,Entity,Code,Day,facial_coverings,restriction_gatherings
25052,Comoros,COM,2020-08-19,3.0,
25053,Comoros,COM,2020-08-20,3.0,
25054,Comoros,COM,2020-08-21,3.0,
25055,Comoros,COM,2020-08-22,3.0,
25056,Comoros,COM,2020-08-23,3.0,
25057,Comoros,COM,2020-08-24,3.0,
25058,Comoros,COM,2020-08-25,3.0,
25059,Comoros,COM,2020-08-26,3.0,
25060,Comoros,COM,2020-08-27,3.0,
25061,Comoros,COM,2020-08-28,3.0,
25062,Comoros,COM,2020-08-29,3.0,
25063,Comoros,COM,2020-08-30,3.0,
25064,Comoros,COM,2020-08-31,3.0,
25065,Comoros,COM,2020-09-01,3.0,
25066,Comoros,COM,2020-09-02,3.0,
25067,Comoros,COM,2020-09-03,3.0,
25068,Comoros,COM,2020-09-04,3.0,
25069,Comoros,COM,2020-09-05,3.0,
25070,Comoros,COM,2020-09-06,3.0,
25071,Comoros,COM,2020-09-07,3.0,
25072,Comoros,COM,2020-09-08,3.0,
25073,Comoros,COM,2020-09-09,3.0,
25074,Comoros,COM,2020-09-10,3.0,
25075,Comoros,COM,2020-09-11,3.0,
25076,Comoros,COM,2020-09-12,3.0,
25077,Comoros,COM,2020-09-13,3.0,
25078,Comoros,COM,2020-09-14,3.0,
25079,Comoros,COM,2020-09-15,3.0,
25080,Comoros,COM,2020-09-16,3.0,
25081,Comoros,COM,2020-09-17,3.0,
25082,Comoros,COM,2020-09-18,3.0,
25083,Comoros,COM,2020-09-19,3.0,
25084,Comoros,COM,2020-09-20,3.0,
25085,Comoros,COM,2020-09-21,3.0,
25086,Comoros,COM,2020-09-22,3.0,
25087,Comoros,COM,2020-09-23,3.0,
25088,Comoros,COM,2020-09-24,3.0,
25089,Comoros,COM,2020-09-25,3.0,
25090,Comoros,COM,2020-09-26,3.0,
25091,Comoros,COM,2020-09-27,3.0,
25092,Comoros,COM,2020-09-28,3.0,
25093,Comoros,COM,2020-09-29,3.0,
25094,Comoros,COM,2020-09-30,3.0,
25095,Comoros,COM,2020-10-01,3.0,
25096,Comoros,COM,2020-10-02,3.0,
25097,Comoros,COM,2020-10-03,3.0,
25098,Comoros,COM,2020-10-04,3.0,
25099,Comoros,COM,2020-10-05,3.0,
25100,Comoros,COM,2020-10-06,3.0,
25101,Comoros,COM,2020-10-07,3.0,
25102,Comoros,COM,2020-10-08,3.0,
25103,Comoros,COM,2020-10-09,3.0,
25104,Comoros,COM,2020-10-10,3.0,
25105,Comoros,COM,2020-10-11,3.0,
25106,Comoros,COM,2020-10-12,3.0,
38974,Fiji,FJI,2021-06-29,2.0,
38975,Fiji,FJI,2021-06-30,2.0,
38976,Fiji,FJI,2021-07-01,2.0,
38977,Fiji,FJI,2021-07-02,2.0,
38978,Fiji,FJI,2021-07-03,2.0,
38979,Fiji,FJI,2021-07-04,2.0,
38980,Fiji,FJI,2021-07-05,2.0,
41687,Gambia,GMB,2021-07-04,3.0,
48967,Honduras,HND,2021-02-12,3.0,
61234,Kuwait,KWT,2021-09-14,3.0,
61235,Kuwait,KWT,2021-09-15,3.0,
61236,Kuwait,KWT,2021-09-16,3.0,
61237,Kuwait,KWT,2021-09-17,3.0,
61238,Kuwait,KWT,2021-09-18,3.0,
61239,Kuwait,KWT,2021-09-19,3.0,
61240,Kuwait,KWT,2021-09-20,3.0,
61241,Kuwait,KWT,2021-09-21,3.0,
64643,Lesotho,LSO,2021-10-25,3.0,
80581,New Zealand,NZL,2021-04-12,2.0,
80582,New Zealand,NZL,2021-04-13,2.0,
80583,New Zealand,NZL,2021-04-14,2.0,
80584,New Zealand,NZL,2021-04-15,2.0,
80585,New Zealand,NZL,2021-04-16,2.0,
80586,New Zealand,NZL,2021-04-17,2.0,
80587,New Zealand,NZL,2021-04-18,2.0,
80588,New Zealand,NZL,2021-04-19,2.0,
104232,Sri Lanka,LKA,2021-10-31,3.0,
104858,Sudan,SDN,2021-09-12,4.0,
104859,Sudan,SDN,2021-09-13,4.0,
104860,Sudan,SDN,2021-09-14,4.0,
104861,Sudan,SDN,2021-09-15,4.0,
104862,Sudan,SDN,2021-09-16,4.0,
104863,Sudan,SDN,2021-09-17,4.0,
104864,Sudan,SDN,2021-09-18,4.0,
104865,Sudan,SDN,2021-09-19,4.0,
104866,Sudan,SDN,2021-09-20,4.0,
104867,Sudan,SDN,2021-09-21,4.0,
104868,Sudan,SDN,2021-09-22,4.0,
104869,Sudan,SDN,2021-09-23,4.0,
104870,Sudan,SDN,2021-09-24,4.0,
104871,Sudan,SDN,2021-09-25,4.0,
104872,Sudan,SDN,2021-09-26,4.0,
104873,Sudan,SDN,2021-09-27,4.0,
104874,Sudan,SDN,2021-09-28,4.0,
104875,Sudan,SDN,2021-09-29,4.0,
104876,Sudan,SDN,2021-09-30,4.0,
104877,Sudan,SDN,2021-10-01,4.0,
104878,Sudan,SDN,2021-10-02,4.0,
104879,Sudan,SDN,2021-10-03,4.0,
104880,Sudan,SDN,2021-10-04,4.0,
104881,Sudan,SDN,2021-10-05,4.0,
104882,Sudan,SDN,2021-10-06,4.0,
104883,Sudan,SDN,2021-10-07,4.0,
104884,Sudan,SDN,2021-10-08,4.0,
104885,Sudan,SDN,2021-10-09,4.0,
104886,Sudan,SDN,2021-10-10,4.0,
104887,Sudan,SDN,2021-10-11,4.0,
104888,Sudan,SDN,2021-10-12,4.0,
