Entity,Code,Day,testing_policy,vaccination_policy,facial_coverings,restriction_gatherings,stay_home_requirements,total_cases,new_cases
Romania,ROU,13/2/20,0,0,0,0,0,0,0
Romania,ROU,14/2/20,0,0,0,0,0,0,0
Romania,ROU,15/2/20,0,0,0,0,0,0,0
Romania,ROU,16/2/20,0,0,0,0,0,0,0
Romania,ROU,17/2/20,0,0,0,0,0,0,0
Romania,ROU,18/2/20,0,0,0,0,0,0,0
Romania,ROU,19/2/20,0,0,0,0,0,0,0
Romania,ROU,20/2/20,0,0,0,0,0,0,0
Romania,ROU,21/2/20,0,0,0,0,0,0,0
Romania,ROU,22/2/20,0,0,0,0,0,0,0
Romania,ROU,23/2/20,0,0,0,0,0,0,0
Romania,ROU,24/2/20,0,0,0,0,0,0,0
Romania,ROU,25/2/20,0,0,0,0,0,0,0
Romania,ROU,26/2/20,0,0,0,0,0,1,1
Romania,ROU,27/2/20,0,0,0,0,0,1,0
Romania,ROU,28/2/20,0,0,0,0,0,3,2
Romania,ROU,29/2/20,0,0,0,0,0,3,0
Romania,ROU,1/3/20,0,0,0,0,0,3,0
Romania,ROU,2/3/20,0,0,0,0,0,3,0
Romania,ROU,3/3/20,0,0,0,0,0,3,0
Romania,ROU,4/3/20,0,0,0,0,0,4,1
Romania,ROU,5/3/20,0,0,0,0,0,6,2
Romania,ROU,6/3/20,0,0,0,0,0,9,3
Romania,ROU,7/3/20,0,0,0,0,0,9,0
Romania,ROU,8/3/20,0,0,0,1,0,15,6
Romania,ROU,9/3/20,0,0,0,1,0,15,0
Romania,ROU,10/3/20,0,0,0,1,0,25,10
Romania,ROU,11/3/20,0,0,0,1,0,45,20
Romania,ROU,12/3/20,0,0,0,2,1,49,4
Romania,ROU,13/3/20,0,0,0,2,1,89,40
Romania,ROU,14/3/20,0,0,0,2,1,123,34
Romania,ROU,15/3/20,0,0,0,2,1,131,8
Romania,ROU,16/3/20,0,0,0,2,1,158,27
Romania,ROU,17/3/20,0,0,0,2,1,184,26
Romania,ROU,18/3/20,0,0,0,2,1,260,76
Romania,ROU,19/3/20,0,0,0,2,1,277,17
Romania,ROU,20/3/20,0,0,0,2,1,308,31
Romania,ROU,21/3/20,0,0,0,2,1,367,59
Romania,ROU,22/3/20,0,0,0,4,1,433,66
Romania,ROU,23/3/20,1,0,0,4,1,576,143
Romania,ROU,24/3/20,1,0,0,4,1,794,218
Romania,ROU,25/3/20,1,0,0,4,2,906,112
Romania,ROU,26/3/20,1,0,0,4,2,1029,123
Romania,ROU,27/3/20,1,0,0,4,2,1292,263
Romania,ROU,28/3/20,1,0,0,4,2,1452,160
Romania,ROU,29/3/20,1,0,0,4,2,1815,363
