Entity,Code,Day,testing_policy,vaccination_policy,facial_coverings,restriction_gatherings,stay_home_requirements
Albania,ALB,27/6/20,1,0,1,4,1
Albania,ALB,28/6/20,1,0,1,4,1
Albania,ALB,29/6/20,1,0,1,4,1
Albania,ALB,30/6/20,1,0,1,4,1
Albania,ALB,1/7/20,1,0,1,4,1
Albania,ALB,2/7/20,1,0,1,4,1
Albania,ALB,3/7/20,1,0,1,4,1
Albania,ALB,4/7/20,1,0,1,4,1
Albania,ALB,5/7/20,1,0,1,4,1
Albania,ALB,6/7/20,1,0,1,4,1
Albania,ALB,7/7/20,1,0,1,4,1
Albania,ALB,8/7/20,1,0,1,4,1
Albania,ALB,9/7/20,1,0,1,4,1
Albania,ALB,10/7/20,1,0,1,4,1
Albania,ALB,11/7/20,1,0,1,4,1
Albania,ALB,12/7/20,1,0,1,4,1
Albania,ALB,13/7/20,1,0,1,4,1
Albania,ALB,14/7/20,1,0,1,4,1
Albania,ALB,15/7/20,1,0,3,4,1
Albania,ALB,16/7/20,1,0,3,4,1
Albania,ALB,17/7/20,1,0,3,4,1
Albania,ALB,18/7/20,1,0,3,4,1
Albania,ALB,19/7/20,1,0,3,4,1
Albania,ALB,20/7/20,1,0,3,4,1
Albania,ALB,21/7/20,1,0,3,4,1
Albania,ALB,22/7/20,1,0,3,4,1
Albania,ALB,23/7/20,1,0,3,4,1
Albania,ALB,24/7/20,1,0,3,4,1
Albania,ALB,25/7/20,1,0,3,4,1
Albania,ALB,26/7/20,1,0,3,4,1
Albania,ALB,27/7/20,1,0,3,4,1
Albania,ALB,28/7/20,1,0,3,4,1
Albania,ALB,29/7/20,1,0,3,4,1
Albania,ALB,30/7/20,1,0,3,4,1
Albania,ALB,31/7/20,1,0,3,4,1
Albania,ALB,1/8/20,1,0,3,4,1
Albania,ALB,2/8/20,1,0,3,4,1
Albania,ALB,3/8/20,1,0,3,4,1
Albania,ALB,4/8/20,1,0,3,4,1
Albania,ALB,5/8/20,1,0,3,4,1
Albania,ALB,6/8/20,1,0,3,4,1
Albania,ALB,7/8/20,1,0,3,4,1
Albania,ALB,8/8/20,1,0,3,4,1
Albania,ALB,9/8/20,1,0,3,4,1
Albania,ALB,10/8/20,1,0,3,4,1
Albania,ALB,11/8/20,1,0,3,4,1
Albania,ALB,12/8/20,1,0,3,4,1
Albania,ALB,13/8/20,1,0,3,4,1
Albania,ALB,14/8/20,1,0,3,4,1
Albania,ALB,15/8/20,1,0,3,4,1
Albania,ALB,16/8/20,1,0,3,4,1
Albania,ALB,17/8/20,1,0,3,4,1
Albania,ALB,18/8/20,1,0,3,4,1
Albania,ALB,19/8/20,1,0,3,4,1
Albania,ALB,20/8/20,1,0,3,4,1
Albania,ALB,21/8/20,1,0,3,4,1
Albania,ALB,22/8/20,1,0,3,4,1
Albania,ALB,23/8/20,1,0,3,4,1
Albania,ALB,24/8/20,1,0,3,4,1
Albania,ALB,25/8/20,1,0,3,4,1
Albania,ALB,26/8/20,1,0,3,4,1
Albania,ALB,27/8/20,1,0,3,4,1
Albania,ALB,28/8/20,1,0,3,4,1
Albania,ALB,29/8/20,1,0,3,4,1
Albania,ALB,30/8/20,1,0,3,4,1
Albania,ALB,31/8/20,1,0,3,4,1
Albania,ALB,1/9/20,1,0,3,4,1
Albania,ALB,2/9/20,1,0,3,4,1
Albania,ALB,3/9/20,1,0,3,4,1
Albania,ALB,4/9/20,1,0,3,4,1
Albania,ALB,5/9/20,1,0,3,4,1
Albania,ALB,6/9/20,1,0,3,4,1
Albania,ALB,7/9/20,2,0,3,4,1
Albania,ALB,8/9/20,2,0,3,4,1
Albania,ALB,9/9/20,2,0,3,4,1
Albania,ALB,10/9/20,2,0,3,4,1
Albania,ALB,11/9/20,2,0,3,4,1
Albania,ALB,12/9/20,2,0,3,4,1
Albania,ALB,13/9/20,2,0,3,4,1
Albania,ALB,14/9/20,2,0,3,4,1
Albania,ALB,15/9/20,2,0,3,4,1
Albania,ALB,16/9/20,2,0,3,4,1
Albania,ALB,17/9/20,2,0,3,4,1
Albania,ALB,18/9/20,2,0,3,4,1
Albania,ALB,19/9/20,2,0,3,4,1
Albania,ALB,20/9/20,2,0,3,4,1
Albania,ALB,21/9/20,2,0,3,4,1
Albania,ALB,22/9/20,2,0,3,4,1
Albania,ALB,23/9/20,2,0,3,4,1
Albania,ALB,24/9/20,2,0,3,4,1
Albania,ALB,25/9/20,2,0,3,4,1
Albania,ALB,26/9/20,2,0,3,4,1
Albania,ALB,27/9/20,2,0,3,4,1
Albania,ALB,28/9/20,2,0,3,4,1
Albania,ALB,29/9/20,2,0,3,4,1
Albania,ALB,30/9/20,2,0,3,4,1
Albania,ALB,1/10/20,2,0,3,4,1
Albania,ALB,2/10/20,2,0,3,4,1
Albania,ALB,3/10/20,2,0,3,4,1
Albania,ALB,4/10/20,2,0,3,4,1
Albania,ALB,5/10/20,2,0,3,4,1
Albania,ALB,6/10/20,2,0,3,4,1
